model,n_rows,mae,rmse,r2,mbe,skill_vs_persistence,segment_col,segment_val
pred_blend_iso_highcal_50,1736,55.11234675932368,69.37444864693802,0.39422324344496873,24.642647352890243,0.5465951046397409,hour,6
persistence,2169,184.35619883714972,210.25708760380485,-1.2061125276512716,-177.90022013728804,0.0,hour,7
pred_raw,2169,85.26411823463324,105.27616354353411,0.4469218874788611,14.898423794784417,0.49929790836868315,hour,7
pred_isotonic,2169,85.06879026060497,105.88104092313655,0.44054807005224994,17.31623748918767,0.49642106180671497,hour,7
pred_bin_bias,2169,84.49003459654313,105.71759391917071,0.44227397231299126,18.606764427482137,0.4971984291993131,hour,7
pred_high_residual_cal,2169,85.26411823463324,105.27616354353411,0.4469218874788611,14.898423794784417,0.49929790836868315,hour,7
pred_high_residual_cal_full,2169,85.26411823463324,105.27616354353411,0.4469218874788611,14.898423794784417,0.49929790836868315,hour,7
pred_blend_raw_highcal_50,2169,85.26411823463324,105.27616354353411,0.4469218874788611,14.898423794784417,0.49929790836868315,hour,7
pred_blend_iso_highcal_50,2169,85.09990166187053,105.47761467282271,0.4448031778162428,16.107330641986046,0.49833979023062447,hour,7
persistence,2175,195.72548327458492,229.62509088903312,-0.5357553090615663,-171.90187499872286,0.0,hour,8
pred_raw,2175,108.42422174406934,134.87599498108304,0.47015033278622154,2.466996397055494,0.41262518630308487,hour,8
pred_isotonic,2175,108.82467953874799,135.80288336204742,0.4628428946200216,6.543277307582933,0.40858865711816095,hour,8
pred_bin_bias,2175,106.84509151141451,135.96364973299427,0.46157034558663246,17.006908247582775,0.4078885316644293,hour,8
pred_high_residual_cal,2175,110.05283533732303,136.70455908035595,0.45568620660560977,4.407738964792799,0.40466192718278005,hour,8
pred_high_residual_cal_full,2175,110.92247078227952,137.8161039150602,0.44679858887157564,5.054653154038567,0.39982123303040873,hour,8
pred_blend_raw_highcal_50,2175,109.04967648113605,135.5038959524864,0.4652055310124451,3.4373676809241465,0.40989072479902033,hour,8
pred_blend_iso_highcal_50,2175,109.20685086611368,135.88449690844007,0.462197069313231,5.475508136187867,0.40823323626203123,hour,8
persistence,2157,187.64928280018543,232.78143603245502,-0.05286560226863668,-131.4652846546129,0.0,hour,9
pred_raw,2157,142.6244359943078,178.0714752676989,0.3838804853521397,19.614046489116102,0.23502716409537183,hour,9
pred_isotonic,2157,143.9920189938422,178.70750783377656,0.3794713354170477,17.32742620657617,0.23229484756309915,hour,9
pred_bin_bias,2157,141.6954654143873,181.62216439752976,0.3590650636271061,40.95830872368313,0.2197738466902167,hour,9
pred_high_residual_cal,2157,152.10858093413577,188.42644479885,0.3101415961992211,30.523369543977424,0.19054350720398905,hour,9
pred_high_residual_cal_full,2157,156.11647458017694,193.35991016643842,0.2735443221861442,34.159810562264525,0.1693499556404504,hour,9
pred_blend_raw_highcal_50,2157,146.75027025958823,182.3707178686104,0.35377096569186395,25.068708016546765,0.21655815439172832,hour,9
pred_blend_iso_highcal_50,2157,147.34806482918225,182.63250439165043,0.3519143576184569,23.925397875276797,0.21543355215753845,hour,9
persistence,2174,176.36735024313313,233.98828954976216,0.048905313468353584,-106.77212853200159,0.0,hour,10
pred_raw,2174,140.93068809576815,178.52404564948216,0.4463581003294511,6.783881465728145,0.23703854584775896,hour,10
pred_isotonic,2174,141.14682476218113,178.49423562625623,0.44654297962567047,6.364342053007133,0.23716594548507963,hour,10
pred_bin_bias,2174,137.2031496633859,181.16055192998726,0.4298845896802448,33.58498244674728,0.22577086110345723,hour,10
pred_high_residual_cal,2174,144.99111711257325,188.87905192910208,0.3802691749739966,33.122283467404216,0.19278416756436323,hour,10
pred_high_residual_cal_full,2174,147.89732196930413,194.36476463164232,0.3437480854368751,41.90175080129623,0.16933977762033736,hour,10
pred_blend_raw_highcal_50,2174,142.12018292960482,182.4933464463837,0.42146507701220703,19.95308246656618,0.22007487298815043,hour,10
pred_blend_iso_highcal_50,2174,142.24099347016377,182.44829755442498,0.4217506670457265,19.743312760205676,0.22026739925536398,hour,10
persistence,2130,156.04410959087863,222.5682847061268,0.09032135395211804,-28.05454580818243,0.0,hour,11
pred_raw,2130,143.9590711341116,181.7866227455601,0.3931445099367322,2.9560328995723966,0.18323213486779444,hour,11
pred_isotonic,2130,144.38368553504966,182.35925912152908,0.3893152418002154,2.715375433029151,0.18065927783775948,hour,11
pred_bin_bias,2130,139.24431370238764,184.02559056998007,0.3781038290813924,30.718121155628637,0.1731724454229293,hour,11
pred_high_residual_cal,2130,143.51785838449229,189.0607938539041,0.34360631096630345,34.83664365505279,0.1505492613040762,hour,11
pred_high_residual_cal_full,2130,144.89414468755277,193.8096265072525,0.31021756382343113,45.463513906879584,0.12921274132496674,hour,11
pred_blend_raw_highcal_50,2130,142.9196272796036,184.06045449756868,0.3778681684124282,18.89633827731259,0.17301580168712194,hour,11
pred_blend_iso_highcal_50,2130,143.17979559705492,184.34354876176428,0.3759529564153553,18.776009544040967,0.1717438582717813,hour,11
persistence,2161,167.79770194354464,237.14977877890615,-0.01986936959934127,51.09670703378067,0.0,hour,12
pred_raw,2161,154.21564831294,194.6363941626622,0.31301508421815594,11.160900840602872,0.1792680762138893,hour,12
pred_isotonic,2161,155.2734403203915,195.14155575390757,0.30944443908284425,8.830014838407775,0.17713793890637652,hour,12
pred_bin_bias,2161,151.06382922835795,197.77732316218896,0.29066385561642916,36.31664649975531,0.16602358146588858,hour,12
pred_high_residual_cal,2161,154.53124722932967,200.31968551889682,0.2723100780260337,32.482257638147786,0.15530308925291425,hour,12
pred_high_residual_cal_full,2161,155.43880377308668,203.5374246290096,0.24874452352165555,39.58937657066276,0.14173470590176362,hour,12
pred_blend_raw_highcal_50,2161,153.94979372818023,196.71184648641565,0.2982860168697846,21.82157923937533,0.17051642426447566,hour,12
pred_blend_iso_highcal_50,2161,154.4690036854886,196.883522268452,0.29706067262624625,20.656136238277778,0.16979251137313622,hour,12
persistence,2139,205.54700275829828,278.7159885671385,-0.4327286741131753,140.36429878447873,0.0,hour,13
pred_raw,2139,153.89255004094503,187.6439468102678,0.3506044542169149,-4.715580405156767,0.32675571367493617,hour,13
pred_isotonic,2139,153.9181867745238,187.31548737688604,0.3528759200664111,-4.346735091086366,0.3279341872711957,hour,13
pred_bin_bias,2139,151.12254132129948,187.99802101638457,0.34815139188165956,13.117413745392644,0.3254853373038602,hour,13
pred_high_residual_cal,2139,153.9489290143672,190.31224271079606,0.3320043388428193,4.9708923285114395,0.3171821835942049,hour,13
