model,n_rows,mae,rmse,r2,mbe,skill_vs_persistence,experiment,split,n_train,n_valid,n_test
clp_very_high_sun_train_lgbm_direct,32798,96.68884054766686,130.25327245054797,0.7531036770281223,0.0042449815847498806,0.4452388202517136,clp_very_high_sun,train,32798,13977,13828
clp_very_high_sun_train_lgbm_residual,32798,94.68807611711448,127.96689757391518,0.761695294601945,0.004944234795325844,0.45497671013382157,clp_very_high_sun,train,32798,13977,13828
clp_very_high_sun_train_blend_30persistence_70residual,32798,108.35256229987492,145.30736802161422,0.6927353431342351,5.904590254685388,0.3811219834005022,clp_very_high_sun,train,32798,13977,13828
clp_very_high_sun_train_blend_50persistence_50residual,32798,125.32619988418236,165.99030337355245,0.5990384086551066,9.837687601278823,0.293031378069607,clp_very_high_sun,train,32798,13977,13828
clp_very_high_sun_train_blend_70persistence_30residual,32798,146.23619019888224,191.35010097366572,0.46716256737545336,13.770784947872185,0.18502156787341473,clp_very_high_sun,train,32798,13977,13828
clp_very_high_sun_valid_persistence,13977,184.45381820133076,239.98583388902026,0.14771680011405142,24.788137726264576,0.0,clp_very_high_sun,valid,32798,13977,13828
clp_very_high_sun_valid_lgbm_direct,13977,114.02928723359426,157.32910321203389,0.6337051193163354,4.9222399760517765,0.34442337423637426,clp_very_high_sun,valid,32798,13977,13828
clp_very_high_sun_valid_lgbm_residual,13977,112.92666192780686,156.2396867996215,0.6387603323100457,5.095461578506718,0.34896287723435615,clp_very_high_sun,valid,32798,13977,13828
clp_very_high_sun_valid_blend_30persistence_70residual,13977,121.20838482133206,165.78520573991702,0.5932718232651031,11.00326442283404,0.3091875338917579,clp_very_high_sun,valid,32798,13977,13828
clp_very_high_sun_valid_blend_50persistence_50residual,13977,134.40924906074468,181.1368969722156,0.5144582693237814,14.941799652385647,0.24521837794817058,clp_very_high_sun,valid,32798,13977,13828
clp_very_high_sun_valid_blend_70persistence_30residual,13977,152.00834452034283,201.88531084923554,0.3968544103867052,18.880334881937188,0.15876155030635697,clp_very_high_sun,valid,32798,13977,13828
clp_very_high_sun_test_persistence,13828,186.8947919676433,243.92437799618983,0.11760064688312466,20.368589287780487,0.0,clp_very_high_sun,test,32798,13977,13828
clp_very_high_sun_test_lgbm_direct,13828,124.38735114355252,160.86391415287474,0.6162291074615309,0.05901381947465279,0.34051727230237117,clp_very_high_sun,test,32798,13977,13828
clp_very_high_sun_test_lgbm_residual,13828,126.07519293526751,162.63942884859824,0.6077107117113596,-0.27020756924366784,0.3332383167903836,clp_very_high_sun,test,32798,13977,13828
clp_very_high_sun_test_blend_30persistence_70residual,13828,127.22755501990454,167.766607251604,0.5825871521880579,5.921431487863543,0.31221877604121817,clp_very_high_sun,test,32798,13977,13828
clp_very_high_sun_test_blend_50persistence_50residual,13828,136.8829171588742,182.1795402431016,0.5077859887319669,10.049190859268409,0.25313106570288235,clp_very_high_sun,test,32798,13977,13828
clp_very_high_sun_test_blend_70persistence_30residual,13828,153.18095704678402,203.38299303178198,0.386543126256764,14.176950230673205,0.1662047282746012,clp_very_high_sun,test,32798,13977,13828
seg_solar_low_sun_train_persistence,11661,100.46496322847707,130.87142131117685,-0.19920725575518738,-44.908323304087105,0.0,seg_solar_low_sun,train,11661,4506,4350
seg_solar_low_sun_train_lgbm_direct,11661,18.260631573147446,32.5969571943206,0.9256024328933491,0.012445930387776452,0.7509237932335597,seg_solar_low_sun,train,11661,4506,4350
seg_solar_low_sun_train_lgbm_residual,11661,18.446177384245647,32.76667425440984,0.9248257096847,0.22981070758686276,0.7496269703031684,seg_solar_low_sun,train,11661,4506,4350
seg_solar_low_sun_train_blend_30persistence_70residual,11661,35.59626484526118,52.070143830384445,0.8101624308851324,-13.311629495915332,0.6021274674890577,seg_solar_low_sun,train,11661,4506,4350
seg_solar_low_sun_train_blend_50persistence_50residual,11661,52.40714556932567,72.915116702683,0.6277456684318976,-22.33925629825012,0.44284920288814955,seg_solar_low_sun,train,11661,4506,4350
seg_solar_low_sun_train_blend_70persistence_30residual,11661,71.15125237272153,95.56552447531537,0.3605492447091775,-31.366883100584914,0.2697754519828558,seg_solar_low_sun,train,11661,4506,4350
seg_solar_low_sun_valid_persistence,4506,97.2520356635597,125.77742344820957,-0.10713165724818641,-53.07259403018198,0.0,seg_solar_low_sun,valid,11661,4506,4350
seg_solar_low_sun_valid_lgbm_direct,4506,23.068235186455325,42.75945737316841,0.8720447081331903,-3.751740871511157,0.6600386921522912,seg_solar_low_sun,valid,11661,4506,4350
seg_solar_low_sun_valid_lgbm_residual,4506,22.973505618230515,42.85283254954203,0.8714852579377443,-4.273956827909334,0.6592963079166014,seg_solar_low_sun,valid,11661,4506,4350
seg_solar_low_sun_valid_blend_30persistence_70residual,4506,38.57475244838829,57.98987325473509,0.764658671729531,-18.913547988591134,0.5389484721110291,seg_solar_low_sun,valid,11661,4506,4350
seg_solar_low_sun_valid_blend_50persistence_50residual,4506,53.52093874662147,75.17470412556246,0.6045083340918813,-28.673275429045656,0.4023195732220053,seg_solar_low_sun,valid,11661,4506,4350
seg_solar_low_sun_valid_blend_70persistence_30residual,4506,70.38657745030442,94.63753693329456,0.3732119056551587,-38.433002869500186,0.24757930049137367,seg_solar_low_sun,valid,11661,4506,4350
seg_solar_low_sun_test_persistence,4350,95.76218457471265,124.3490034172096,-0.13034652359549947,-49.63518227586207,0.0,seg_solar_low_sun,test,11661,4506,4350
seg_solar_low_sun_test_lgbm_direct,4350,28.137223363874142,50.523904167751816,0.813396068136547,3.1557928206615395,0.5936927295007222,seg_solar_low_sun,test,11661,4506,4350
seg_solar_low_sun_test_lgbm_residual,4350,28.457842639338473,49.82350332078758,0.8185338990128078,7.1270938934507315,0.599325270395435,seg_solar_low_sun,test,11661,4506,4350
seg_solar_low_sun_test_blend_30persistence_70residual,4350,36.69232447778683,56.36654099563937,0.7677424961823163,-9.901588957343114,0.5467069341398648,seg_solar_low_sun,test,11661,4506,4350
